"","total.time","%copied","%voice","outside.work.hours","notesize","smart_phrases_count","resident.time","staff.time","other.time","starttostop","resident.percent","weekend"
"total.time",1,-0.0648911067627959,0.11174131811782,0.463825021646779,0.431359776992927,0.29148975830207,0.878460598161116,0.334884079569812,0.235504167831712,0.203803340679228,-0.062888375169852,0.334740054607691
"%copied",-0.0648911067627959,1,-0.0462253332473861,0.0073219152894843,0.0556012549820109,-0.0823266904855503,-0.0972405336589616,0.0834027529887392,0.0925782115900833,0.108167820346002,-0.101036330804505,0.0286008482590987
"%voice",0.11174131811782,-0.0462253332473861,1,0.107538157423119,0.0609329734263751,0.0831372117246935,0.130171629948539,0.0628921637485088,-0.0385185907986364,0.0616813245433423,0.0592235918979443,0.0508476530522609
"outside.work.hours",0.463825021646779,0.0073219152894843,0.107538157423119,1,0.271851317434759,0.191043249249145,0.416388678182832,0.300576164493145,0.109350928834689,0.250065574527237,-0.0466761599721032,0.133337594684654
"notesize",0.431359776992927,0.0556012549820109,0.0609329734263751,0.271851317434759,1,0.314882994707132,0.391989749633986,0.318936160002795,0.00172733404576275,0.282509648722102,-0.00943891341298995,0.0945368487392423
"smart_phrases_count",0.29148975830207,-0.0823266904855503,0.0831372117246935,0.191043249249145,0.314882994707132,1,0.238312104280501,0.251521138474071,0.0602630712193596,0.152101039713845,-0.0639696842210304,0.0885193484723554
"resident.time",0.878460598161116,-0.0972405336589616,0.130171629948539,0.416388678182832,0.391989749633986,0.238312104280501,1,0.19141100909103,-0.0897697615562528,0.168971153866246,0.280269319614642,0.326177453680887
"staff.time",0.334884079569812,0.0834027529887392,0.0628921637485088,0.300576164493145,0.318936160002795,0.251521138474071,0.19141100909103,1,0.0513162811576745,0.0639596581143086,-0.463240961760234,0.0999058543103654
"other.time",0.235504167831712,0.0925782115900833,-0.0385185907986364,0.109350928834689,0.00172733404576275,0.0602630712193596,-0.0897697615562528,0.0513162811576745,1,0.127820277539824,-0.660062105504243,0.0529721497447979
"starttostop",0.203803340679228,0.108167820346002,0.0616813245433423,0.250065574527237,0.282509648722102,0.152101039713845,0.168971153866246,0.0639596581143086,0.127820277539824,1,-0.00121830396668652,0.067539705237166
"resident.percent",-0.062888375169852,-0.101036330804505,0.0592235918979443,-0.0466761599721032,-0.00943891341298995,-0.0639696842210304,0.280269319614642,-0.463240961760234,-0.660062105504243,-0.00121830396668652,1,0.00104181858035491
"weekend",0.334740054607691,0.0286008482590987,0.0508476530522609,0.133337594684654,0.0945368487392423,0.0885193484723554,0.326177453680887,0.0999058543103654,0.0529721497447979,0.067539705237166,0.00104181858035491,1
